filename,timestamp,file_size_bytes
pageviews-20250110-060000.gz,10-Jan-2025 07:02,46592385
pageviews-20250110-070000.gz,10-Jan-2025 08:16,51995958
pageviews-20250110-080000.gz,10-Jan-2025 09:30,55601926
pageviews-20250110-090000.gz,10-Jan-2025 10:02,58841272
pageviews-20250110-100000.gz,10-Jan-2025 11:01,60422604
pageviews-20250110-110000.gz,10-Jan-2025 12:11,62381699
pageviews-20250110-120000.gz,10-Jan-2025 13:00,63012290
pageviews-20250110-130000.gz,10-Jan-2025 14:01,62926274
pageviews-20250110-140000.gz,10-Jan-2025 15:12,64650807
pageviews-20250110-150000.gz,10-Jan-2025 16:11,66698089
pageviews-20250110-160000.gz,10-Jan-2025 17:15,68903986
pageviews-20250110-170000.gz,10-Jan-2025 18:01,69383968
pageviews-20250110-180000.gz,10-Jan-2025 19:00,65976218
pageviews-20250110-190000.gz,10-Jan-2025 20:00,66507529
pageviews-20250110-200000.gz,10-Jan-2025 21:00,65828177
pageviews-20250110-210000.gz,10-Jan-2025 22:01,65458767
pageviews-20250110-220000.gz,10-Jan-2025 23:01,63750067
pageviews-20250110-230000.gz,11-Jan-2025 00:00,59809024
pageviews-20250111-000000.gz,11-Jan-2025 01:01,54815730
pageviews-20250111-010000.gz,11-Jan-2025 02:02,49388854
pageviews-20250111-020000.gz,11-Jan-2025 03:01,46537005
pageviews-20250111-030000.gz,11-Jan-2025 03:50,44976360
pageviews-20250111-040000.gz,11-Jan-2025 05:00,44246447
pageviews-20250111-050000.gz,11-Jan-2025 06:00,43060651
pageviews-20250111-060000.gz,11-Jan-2025 07:01,44901898
pageviews-20250111-070000.gz,11-Jan-2025 08:01,47361174
pageviews-20250111-080000.gz,11-Jan-2025 09:00,50919694
pageviews-20250111-090000.gz,11-Jan-2025 10:00,53761233
pageviews-20250111-100000.gz,11-Jan-2025 11:02,56879616
pageviews-20250111-110000.gz,11-Jan-2025 12:02,58595845
pageviews-20250111-120000.gz,11-Jan-2025 13:01,60808104
pageviews-20250111-130000.gz,11-Jan-2025 14:07,64251590
pageviews-20250111-140000.gz,11-Jan-2025 15:01,65080481
pageviews-20250111-150000.gz,11-Jan-2025 16:01,66401755
pageviews-20250111-160000.gz,11-Jan-2025 17:01,67679084
pageviews-20250111-170000.gz,11-Jan-2025 18:01,70538219
pageviews-20250111-180000.gz,11-Jan-2025 19:01,68772132
pageviews-20250111-190000.gz,11-Jan-2025 20:01,67228117
pageviews-20250111-200000.gz,11-Jan-2025 21:13,67197076
pageviews-20250111-210000.gz,11-Jan-2025 22:00,66146584
pageviews-20250111-220000.gz,11-Jan-2025 23:12,64609349
pageviews-20250111-230000.gz,12-Jan-2025 00:02,62126684
pageviews-20250112-000000.gz,12-Jan-2025 01:01,55793846
